SMILES,Scaffold,R-groups,NLL
CC(C)[NH:0][c:0]1nc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)c(-c2ncn[c:2]([NH2:2])[c:1]2[CH3:1])s1,c1cc(NS(=O)(c2ccccc2)=O)cc(-c2nc([*])sc2-c2c([*])c([*])ncn2)c1,CC(C)N*|*C|*N,9.599443435668945
Cn1cc([NH:0][c:0]2nc[c:1]([CH3:1])c(-c3s[c:2]([NH2:2])nc3-c3cccc(NS(=O)(=O)c4ccccc4)c3)n2)cn1,c1(S(=O)(=O)Nc2cc(-c3c(-c4nc([*])ncc4[*])sc([*])n3)ccc2)ccccc1,c1nn(C)cc1N*|C*|*N,10.831125259399414
[CH3:0][c:0]1ccc(NS(=O)(=O)c2ccccc2)cc1-c1n[c:2]([NH:2]C)sc1-c1ncnc[c:1]1-[c:1]1cnccc1N,[*]c1c(-c2c(-c3ncncc3[*])sc([*])n2)cc(NS(=O)(c2ccccc2)=O)cc1,*C|c1nccc(N)c1*|N(C)*,13.037199974060059
COc1c[c:2](-[c:2]2cncnc2-c2s[c:1]([N:1](C)C)nc2-c2c[c:0]([CH3:0])cc(NS(=O)(=O)c3ccccc3)c2)cc(OC)c1OC,[*]c1cc(-c2nc([*])sc2-c2ncncc2[*])cc(NS(=O)(=O)c2ccccc2)c1,C*|N(*)(C)C|*c1cc(OC)c(OC)c(OC)c1,11.095471382141113
[CH3:0][c:0]1cncnc1-c1s[c:1]([CH2:1]C)nc1-c1cc[c:2]([CH3:2])c(NS(=O)(=O)c2ccccc2)c1,c1c([*])c(-c2sc([*])nc2-c2ccc([*])c(NS(=O)(c3ccccc3)=O)c2)ncn1,*C|CC*|C*,5.773512840270996
[CH3:0][c:0]1cncnc1-c1s[c:1]([CH3:1])nc1-c1cccc(NS(=O)(=O)c2cccc[c:2]2[CH:2](F)F)c1,S(Nc1cc(-c2c(-c3c([*])cncn3)sc([*])n2)ccc1)(c1c([*])cccc1)(=O)=O,C*|*C|C(F)(*)F,9.205526351928711
CCCc1ccc[c:0](-[c:0]2cncnc2-c2s[c:1]([NH:1]CC)nc2-c2cccc(NS(=O)(=O)c3ccc[c:2]([CH3:2])c3)c2)c1,c1ncc([*])c(-c2sc([*])nc2-c2cc(NS(=O)(=O)c3cc([*])ccc3)ccc2)n1,c1(*)cc(CCC)ccc1|N(*)CC|C*,18.088281631469727
C[CH2:1][c:1]1nc(-c2cccc(NS(=O)(=O)c3cc[c:0](-[c:0]4ccc(C(F)(F)F)cc4)cc3)c2)c(-c2ncnc[c:2]2[CH3:2])s1,c1([*])ccc(S(=O)(=O)Nc2cc(-c3nc([*])sc3-c3ncncc3[*])ccc2)cc1,c1cc(*)ccc1C(F)(F)F|CC*|C*,13.136406898498535
[CH3:0][c:0]1c(NS(=O)(=O)c2ccccc2)cccc1-c1n[c:1]([N:1]2CCOCC2)sc1-c1ncnc[c:2]1[CH3:2],n1c(-c2c(-c3c([*])c(NS(=O)(=O)c4ccccc4)ccc3)nc([*])s2)c([*])cnc1,*C|C1COCCN1*|C*,4.371070861816406
CNC(=O)c1cc[c:1](-[c:1]2nc(-c3s[c:0]([NH2:0])nc3-c3cccc(NS(=O)(=O)c4ccccc4)c3)c[c:2]([NH:2]C3CCOCC3)n2)cc1,c1(-c2c(-c3cc(NS(c4ccccc4)(=O)=O)ccc3)nc([*])s2)nc([*])nc([*])c1,*N|c1cc(C(NC)=O)ccc1*|N(*)C1CCOCC1,16.66848373413086
