SMILES,Scaffold,R-groups,NLL
CCOC(=O)Cc1c(C)c(=O)oc2cc(OC(=O)C(CCCN)NC(=O)[C:0]3([CH2:0]O)CC4(CCC(=O)NC4=O)Nc4cc(C(=O)NO)cc([N+](=O)[O-])c43)c(OC)cc12,OC[*],C(CN)CC(NC(=O)C1(*)c2c(cc(C(NO)=O)cc2[N+](=O)[O-])NC2(CCC(=O)NC2=O)C1)C(Oc1cc2c(cc1OC)c(CC(OCC)=O)c(C)c(=O)o2)=O,79.96673583984375
O=C1C(NCCc2ccc(Cl)c(Cl)c2)CCCN2C(=O)C(c3c(F)c(F)c([O:0][CH2:0]O)c(F)c3F)SCN12,OC[*],O=C1N2CSC(c3c(F)c(F)c(O*)c(F)c3F)C(=O)N2CCCC1NCCc1cc(Cl)c(Cl)cc1,39.709312438964844
O=C([CH2:0][CH2:0]O)NCCN1CCS(=O)(=O)CC1,OC[*],O=C(C*)NCCN1CCS(=O)(=O)CC1,18.81498146057129
Cc1occc1C(=O)Nc1c(OC(=O)Nc2cc(O)c3ccc(OCC(=O)O)cc3c(=O)c2)ccc(O)c1N(C)C[CH2:0][CH2:0]O,OC[*],C(*)CN(c1c(NC(=O)c2ccoc2C)c(OC(=O)Nc2cc(=O)c3c(ccc(OCC(=O)O)c3)c(O)c2)ccc1O)C,55.5949821472168
COc1cc(C(=O)NCCN2CCC(F)C(Oc3cccc(Cl)c3Cl)C2)cc(OC2C[N:0]([CH2:0]O)C2)c1N1CC(=O)NC1=O,OC[*],C(CNC(=O)c1cc(OC2CN(*)C2)c(N2C(=O)NC(=O)C2)c(OC)c1)N1CCC(F)C(Oc2c(Cl)c(Cl)ccc2)C1,50.33205032348633
O=C(C[O:0][CH2:0]O)N1CCCC1,OC[*],C1CCCN1C(CO*)=O,12.324071884155273
COc1ccc(COc2cc(Cn3nc([O:0][CH2:0]O)ccc3=O)c(C3(F)CCSCC3)c(F)c2OCC(=O)O)cc1F,OC[*],C1(F)(c2c(Cn3c(=O)ccc(O*)n3)cc(OCc3cc(F)c(OC)cc3)c(OCC(O)=O)c2F)CCSCC1,47.58674621582031
O[CH2:0][C:0](F)(F)F,OC[*],*C(F)(F)F,7.03568696975708
O=C(Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(OCc2cc([N+](=O)[O-])ccc2[N+](=O)[O-])c1[O:0][CH2:0]O)NC1CCSS1,OC[*],c1(O*)c(OCc2cc([N+](=O)[O-])ccc2[N+](=O)[O-])c([N+](=O)[O-])cc([N+](=O)[O-])c1NC(NC1CCSS1)=O,33.22467041015625
CC(=O)NCC(=O)NCCNC(=O)C1N(C(=O)NCCc2cccc(Cl)c2Cl)CCN1C1=NC=C(CNC2CC[N:0]([CH2:0]O)CC2)C(CO)C1,OC[*],N1(*)CCC(NCc2cnc(N3CCN(C(=O)NCCc4c(Cl)c(Cl)ccc4)c3C(=O)NCCNC(CNC(C)=O)=O)CC2CO)CC1,61.152442932128906
O=C(CNC(=O)c1cccc(OCC(=O)OCc2ccccc2[N+](=O)O)c1)NNC(=O)COc1ccc([O:0][CH2:0]O)c(OCc2ccc(CCl)c([N+](=O)[O-])c2)c1[N+](=O)[O-],OC[*],c1(C(=O)NCC(=O)NNC(=O)COc2ccc(O*)c(OCc3cc([N+]([O-])=O)c(CCl)cc3)c2[N+]([O-])=O)cc(OCC(=O)OCc2c([N+](=O)O)cccc2)ccc1,51.10163116455078
C[C:0](O)([CH2:0]O)C(F)(F)F,OC[*],FC(F)(C(C)(O)*)F,9.665226936340332
O=C(O)COc1ccc2c(C(OS(=O)(=O)[NH:0][CH2:0]O)C(F)(F)F)c(C(F)(F)F)ncc2c1,OC[*],c1cc2c(C(OS(N*)(=O)=O)C(F)(F)F)c(C(F)(F)F)ncc2cc1OCC(O)=O,40.54499053955078
O=C(COCC(F)(F)F)N1CC2(CCN(Cc3c(F)ccc(CNc4cc([O:0][CH2:0]O)c(F)c(F)c4F)c3OCC(F)(F)F)C2CO)N1,OC[*],c1c(O*)c(F)c(F)c(F)c1NCc1c(OCC(F)(F)F)c(CN2CCC3(CN(C(COCC(F)(F)F)=O)N3)C2CO)c(F)cc1,55.26585388183594
O=[C:0]([CH2:0]O)NCC(=O)OCc1cc(F)c(F)c(F)c1,OC[*],O=C(NCC(OCc1cc(F)c(F)c(F)c1)=O)*,17.339487075805664
O=C(NC[CH2:0][CH2:0]O)C1NCCC1O,OC[*],C(CNC(=O)C1NCCC1O)*,17.18686294555664
CCC(=O)NC1([C:0](=O)[CH2:0]O)CN2CCC1CC2,OC[*],CCC(NC1(C(*)=O)CN2CCC1CC2)=O,19.715614318847656
O=CC1(O)CC2CCC(C1)[N:0]([CH2:0]O)C2,OC[*],C1C2CCC(CC1(O)C=O)CN2*,22.544614791870117
O[CH2:0][CH2:0]c1ccccc1Br,OC[*],c1ccc(C*)c(Br)c1,16.19065284729004
O=[C:0]([CH2:0]O)NCC(=O)Nc1cc(F)cc([N+](=O)[O-])c1F,OC[*],c1(F)c(NC(=O)CNC(*)=O)cc(F)cc1[N+](=O)[O-],23.611719131469727
O=[C:0]([CH2:0]O)N1CCC(N2C(=O)CNC2=O)CC1,OC[*],C1(N2C(=O)NCC2=O)CCN(C(*)=O)CC1,15.828369140625
O=C(C[O:0][CH2:0]O)NC12CC3CC(CC(C3)C1)C2,OC[*],*OCC(=O)NC12CC3CC(C1)CC(C3)C2,16.50733757019043
Cc1cc(F)c(CCNC(=O)[C:0](C)([CH2:0]O)NC2(N3CCc4ccc([N+](=O)[O-])cc4C3)CCCNC2=O)c(F)c1CNC(=O)c1c(F)c(F)cc(F)c1Cl,OC[*],*C(C)(C(NCCc1c(F)c(CNC(c2c(Cl)c(F)cc(F)c2F)=O)c(C)cc1F)=O)NC1(N2CCc3ccc([N+](=O)[O-])cc3C2)C(=O)NCCC1,63.98369216918945
O=C(O)CN1C(=O)CC([C:0](=O)[CH2:0]O)C1CC(=O)NNC(=O)Oc1cc([N+](=O)[O-])ccc1OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1[N+](=O)[O-],OC[*],O=C(NNC(=O)CC1N(CC(O)=O)C(=O)CC1C(*)=O)Oc1cc([N+]([O-])=O)ccc1OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1[N+](=O)[O-],43.57891082763672
O=C(CNCCN1CCCC1=O)OCCCSc1c(C(=O)N2CCN(c3cc(C(F)(F)F)ccc3[N+](=O)[O-])CC2)c([O:0][CH2:0]O)cc(F)c1[N+](=O)[O-],OC[*],C(NCC(=O)OCCCSc1c(C(=O)N2CCN(c3cc(C(F)(F)F)ccc3[N+]([O-])=O)CC2)c(O*)cc(F)c1[N+](=O)[O-])CN1CCCC1=O,45.94358444213867
O=C(NC[CH2:0][CH2:0]O)c1ccc(Cl)c(Cl)c1,OC[*],C(CNC(c1ccc(Cl)c(Cl)c1)=O)*,16.035987854003906
O=C1N(Cc2ccc(C(F)(F)F)c([N+](=O)[O-])c2)CC[C:0]1(O)[CH2:0]O,OC[*],FC(F)(c1ccc(CN2CCC(*)(O)C2=O)cc1[N+]([O-])=O)F,21.888893127441406
Cc1cc(C)c(C(=O)NCCOC(=O)COc2ccc(OCc3ccc(NC(=O)c4c(Cl)ccc(Cl)c4CC(=O)O)cc3C)c[c:0]2[CH2:0]O)c(C)c1,OC[*],*c1c(OCC(=O)OCCNC(=O)c2c(C)cc(C)cc2C)ccc(OCc2c(C)cc(NC(c3c(CC(=O)O)c(Cl)ccc3Cl)=O)cc2)c1,51.378456115722656
CC(CN(C=O)S(=O)(=O)c1c(OCc2ccccc2CCl)cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-])[O:0][CH2:0]O,OC[*],O=CN(CC(C)O*)S(=O)(c1c(OCc2ccccc2CCl)cc([N+]([O-])=O)c([N+](=O)[O-])c1[N+]([O-])=O)=O,43.60137939453125
O[CH2:0][CH2:0]NCc1c(F)cc(F)c(Cl)c1F,OC[*],C(NCc1c(F)c(Cl)c(F)cc1F)*,17.267484664916992
