SMILES,Scaffold,R-groups,NLL
N#[C:0][C:0]1=CC23CCCN2CCc2cc4c(cc2C3C1)OCO4,O1COc2cc3c(cc21)CCN1C2(C3CC([*])=C2)CCC1,C(#N)*,2.707357883453369
CCO[C:0](=O)[C:0]1=CCC2c3cc4c(cc3CCN3CCCC123)OCO4,C1N2C3(C(c4cc5c(cc4CC2)OCO5)CC=C3[*])CC1,O=C(OCC)*,6.435643196105957
C[CH2:0][CH:0]1CCN2CCc3cc4c(cc3C3CC=CC132)OCO4,O1COc2cc3c(cc21)CCN1CCC([*])C12C3CC=C2,C(*)C,3.7039506435394287
[NH2:0][CH:0]1CN2CCc3cc4c(cc3C3CC=CC32C1)OCO4,C1C([*])CN2C13C=CCC3c1cc3c(cc1CC2)OCO3,N*,1.8266780376434326
C1=CC23CC[CH:0]([CH2:0]Cc4ccccc4)N2CCc2cc4c(cc2C3C1)OCO4,[*]C1N2C3(C=CCC3c3c(cc4c(c3)OCO4)CC2)CC1,c1cc(CC*)ccc1,9.960663795471191
C1=CC23CCCN2[CH:0]([NH:0]c2ccccc2)Cc2cc4c(cc2C3C1)OCO4,N12C([*])Cc3c(cc4c(c3)OCO4)C3CC=CC13CCC2,c1cc(N*)ccc1,6.345662593841553
[CH3:0][CH:0]1CN2CCCC23C=CCC3c2cc3c(cc21)OCO3,C1=CC23CCCN2CC([*])c2c(cc4c(c2)OCO4)C3C1,*C,2.9364030361175537
N#Cc1ccc[c:0](-[c:0]2c3c(cc4c2OCO4)C2CC=CC24CCCN4CC3)c1,C1C23C(CC=C2)c2cc4c(c([*])c2CCN3CC1)OCO4,C(c1cc(*)ccc1)#N,9.583366394042969
C[N:0](C)[c:0]1c2c(cc3c1C1CC=CC14CCCN4CC3)OCO2,C1c2c(c([*])c3c(c2)OCO3)C2C3(N(CCC3)C1)C=CC2,CN(C)*,6.345330715179443
Oc1cc[c:0]([C:0]23CC=CC24CCCN4CCc2cc4c(cc23)OCO4)cc1O,c12cc3c(cc1OCO2)CCN1C2(C3([*])CC=C2)CCC1,c1cc(*)cc(O)c1O,7.0385541915893555
C=CCC[O:0][CH:0]1C=CC23CCCN2CCc2cc4c(cc2C13)OCO4,C1CCN2CCc3c(cc4c(c3)OCO4)C3C([*])C=CC123,O(*)CCC=C,13.868186950683594
CCCNC(=O)[C:0](C)(c1ccc(O)cc1)[CH:0]1Oc2cc3c(cc2O1)C1CC=CC12CCCN2CC3,c12c(cc3c(c1)OC([*])O3)C1CC=CC13N(CCC3)CC2,*C(C)(C(NCCC)=O)c1ccc(O)cc1,23.740447998046875
O=[N+]([O-])c1ccc[c:0]([C:0]2=CCC3c4cc5c(cc4CCN4CCCC234)OCO5)c1,C1N2C3(C(c4cc5c(cc4CC2)OCO5)CC=C3[*])CC1,c1([N+](=O)[O-])cccc(*)c1,7.8981194496154785
[CH3:0][CH:0]1CCN2CCc3cc4c(cc3C3CC=CC132)OCO4,O1COc2cc3c(cc21)CCN1CCC([*])C12C3CC=C2,C*,1.797572374343872
C1=CC23C[CH:0]([N:0]4CCCCC4)CN2CCc2cc4c(cc2C3C1)OCO4,C1C([*])CN2C13C=CCC3c1cc3c(cc1CC2)OCO3,C1N(*)CCCC1,7.954310417175293
Nc1cc([NH:0][CH:0]2CCC34C=CCC3c3cc5c(cc3CCN24)OCO5)c2c(n1)[nH]c1ccccc12,[*]C1N2C3(C=CCC3c3c(cc4c(c3)OCO4)CC2)CC1,c1ccc2c3c([nH]c2c1)nc(N)cc3N*,29.682294845581055
C1=CC23CCCN2[CH:0]([O:0]c2ccccc2)Cc2cc4c(cc2C3C1)OCO4,N12C([*])Cc3c(cc4c(c3)OCO4)C3CC=CC13CCC2,c1ccccc1O*,7.96370267868042
Clc1cc[c:0]([CH:0]2CN3CCCC34C=CCC4c3cc4c(cc32)OCO4)c(Cl)c1,C1=CC23CCCN2CC([*])c2c(cc4c(c2)OCO4)C3C1,*c1c(Cl)cc(Cl)cc1,10.808629989624023
COc1cc[c:0](-[c:0]2c3c(cc4c2OCO4)C2CC=CC24CCCN4CC3)cc1,C1C23C(CC=C2)c2cc4c(c([*])c2CCN3CC1)OCO4,COc1ccc(*)cc1,5.195246696472168
C1=CC23CCCN2CCc2cc4c([c:0]([N:0]5CCOCC5)c2C3C1)OCO4,C1c2c(c([*])c3c(c2)OCO3)C2C3(N(CCC3)C1)C=CC2,C1CN(*)CCO1,7.146228790283203
COc1cccc[c:0]1[C:0]12CC=CC13CCCN3CCc1cc3c(cc12)OCO3,c12cc3c(cc1OCO2)CCN1C2(C3([*])CC=C2)CCC1,c1cc(OC)c(*)cc1,8.643621444702148
C[CH2:0][CH:0]1C=CC23CCCN2CCc2cc4c(cc2C13)OCO4,C1CCN2CCc3c(cc4c(c3)OCO4)C3C([*])C=CC123,*CC,3.872067928314209
CC[CH2:0][CH:0]1Oc2cc3c(cc2O1)C1CC=CC12CCCN2CC3,c12c(cc3c(c1)OC([*])O3)C1CC=CC13N(CCC3)CC2,C(*)CC,6.33560848236084
Cl[C:0](Cl)(Br)[C:0]1=CC23CCCN2CCc2cc4c(cc2C3C1)OCO4,O1COc2cc3c(cc21)CCN1C2(C3CC([*])=C2)CCC1,BrC(*)(Cl)Cl,10.995976448059082
COc1c[c:0]([C:0]2=CCC3c4cc5c(cc4CCN4CCCC234)OCO5)cc(OC)c1OC,C1N2C3(C(c4cc5c(cc4CC2)OCO5)CC=C3[*])CC1,COc1c(OC)c(OC)cc(*)c1,5.079151630401611
C1=CC23C[CH:0]([c:0]4ccccc4)CN2CCc2cc4c(cc2C3C1)OCO4,C1C([*])CN2C13C=CCC3c1cc3c(cc1CC2)OCO3,c1ccccc1*,6.1715779304504395
F[C:0](F)(F)[CH:0]1CCC23C=CCC2c2cc4c(cc2CCN13)OCO4,[*]C1N2C3(C=CCC3c3c(cc4c(c3)OCO4)CC2)CC1,C(F)(*)(F)F,5.903121471405029
[NH2:0][CH:0]1Cc2cc3c(cc2C2CC=CC24CCCN14)OCO3,N12C([*])Cc3c(cc4c(c3)OCO4)C3CC=CC13CCC2,*N,2.725597381591797
COc1cc[c:0]([CH:0]2CN3CCCC34C=CCC4c3cc4c(cc32)OCO4)cc1,C1=CC23CCCN2CC([*])c2c(cc4c(c2)OCO4)C3C1,O(C)c1ccc(*)cc1,6.375277996063232
COc1c[c:0](-[c:0]2c3c(cc4c2OCO4)C2CC=CC24CCCN4CC3)cc(OC)c1O,C1C23C(CC=C2)c2cc4c(c([*])c2CCN3CC1)OCO4,COc1c(O)c(OC)cc(*)c1,7.293980121612549
C[CH2:0][c:0]1c2c(cc3c1C1CC=CC14CCCN4CC3)OCO2,C1c2c(c([*])c3c(c2)OCO3)C2C3(N(CCC3)C1)C=CC2,*CC,6.553445816040039
[CH3:0][C:0]12CC=CC13CCCN3CCc1cc3c(cc12)OCO3,c12cc3c(cc1OCO2)CCN1C2(C3([*])CC=C2)CCC1,C*,1.5744680166244507
