SMILES,Scaffold,R-groups,NLL
O=S(=O)(Cc1c(F)c(F)c(F)c(F)c1F)NCC[O:0][CH2:0]O,OC[*],C(NS(Cc1c(F)c(F)c(F)c(F)c1F)(=O)=O)CO*,17.8223876953125
COC(C)(C)c1cc(OC(=O)N(C[CH2:0][CH2:0]O)C2CCc3c(C)c(NC([O-])CCCCN=[N+]=[N+])c(NCCc4cccc(F)c4F)c(OS(=O)(=O)O)c3C2)c([N+](=O)[O-])c([N+](=O)[O-])c1,OC[*],*CCN(C1Cc2c(c(C)c(NC(CCCCN=[N+]=[N+])[O-])c(NCCc3c(F)c(F)ccc3)c2OS(=O)(=O)O)CC1)C(=O)Oc1cc(C(OC)(C)C)cc([N+]([O-])=O)c1[N+](=O)[O-],75.93043518066406
O=[N+]([O-])c1c(Cl)c(Cl)c(OCc2c(F)c(F)c(F)c(F)c2F)c([O:0][CH2:0]O)c1Cl,OC[*],c1(O*)c(Cl)c([N+](=O)[O-])c(Cl)c(Cl)c1OCc1c(F)c(F)c(F)c(F)c1F,23.205026626586914
O=[N+]([O-])c1ccc(OC[C:0](O)(O)[CH2:0]O)c(Nc2ccc(Cl)c([N+](=O)[O-])c2[N+](=O)[O-])c1,OC[*],c1c(OCC(O)(*)O)c(Nc2ccc(Cl)c([N+](=O)[O-])c2[N+](=O)[O-])cc([N+](=O)[O-])c1,29.00243377685547
COc1ccccc1C(C)(C)Oc1ccc(N2CCN(Cc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])CC2)c([O:0][CH2:0]O)c1C(=O)O,OC[*],c1(O*)c(N2CCN(Cc3c([N+]([O-])=O)cc([N+](=O)[O-])cc3[N+](=O)[O-])CC2)ccc(OC(c2ccccc2OC)(C)C)c1C(=O)O,34.8049201965332
CCC(C)(O)c1ccc(COc2c([O:0][CH2:0]O)cc([N+](=O)[O-])c(COC(=O)N3C(CO)CCC3CNC(=S)NCCc3ccccc3F)c2O)c([N+](=O)[O-])c1,OC[*],N1(C(=O)OCc2c([N+]([O-])=O)cc(O*)c(OCc3c([N+](=O)[O-])cc(C(CC)(O)C)cc3)c2O)C(CO)CCC1CNC(=S)NCCc1c(F)cccc1,67.72919464111328
O=C1NCc2ccccc2N1C1CCC([O:0][CH2:0]O)C(N2CCc3c(F)cc(Br)cc3C2)C1,OC[*],C1C(N2C(=O)NCc3c2cccc3)CCC(O*)C1N1CCc2c(cc(Br)cc2F)C1,40.233734130859375
CC(C)Oc1cc([O:0][CH2:0]O)cc2c1C1(C)C3CC(O)(C2)CC1(NC(=O)OCc1c(F)c(F)c(NC(=O)C[N+](=O)[O-])c(N2CCCC2)c1[N+](=O)[O-])C3,OC[*],C(NC12CC3(O)CC(C1(C)c1c(cc(O*)cc1OC(C)C)C3)C2)(=O)OCc1c(F)c(F)c(NC(=O)C[N+](=O)[O-])c(N2CCCC2)c1[N+](=O)[O-],64.52680206298828
O=C(NCC1CCN(Cc2ccc(F)c(OCC(F)(F)F)c2)CC1)c1ccc(C(F)(F)F)cc1[C:0](F)(F)[CH2:0]O,OC[*],C(*)(F)(c1c(C(NCC2CCN(Cc3cc(OCC(F)(F)F)c(F)cc3)CC2)=O)ccc(C(F)(F)F)c1)F,39.27745056152344
O=C(CCc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])NNC1(Oc2cc(CN3CCSC3=O)c(CO)c([O:0][CH2:0]O)c2)CC2CCCC(N2)C1=O,OC[*],C(c1c(O*)cc(OC2(NNC(CCc3c([N+]([O-])=O)cc([N+](=O)[O-])cc3[N+](=O)[O-])=O)CC3NC(CCC3)C2=O)cc1CN1CCSC1=O)O,54.20093536376953
