SMILES,Scaffold,R-groups,NLL
CCCCCc1c(O)c(C(=O)OC)cc(O)c1OC(=O)COc1cc(OC)cc(C[N:0]([CH2:0]O)S(=O)(=O)Cc2cc([N+](=O)[O-])ccc2C)c1C(=O)OC,C([*])O,*N(S(Cc1c(C)ccc([N+](=O)[O-])c1)(=O)=O)Cc1c(C(=O)OC)c(OCC(=O)Oc2c(CCCCC)c(O)c(C(=O)OC)cc2O)cc(OC)c1,55.983009338378906
CCc1c(Cl)c(Cl)c(Cl)c([O:0][CH2:0]O)c1C(=O)C1CCN2C(CCN2Cc2c(C)c3c(c(O)c2O)CCC(=O)N3)C1,C([*])O,C1(C(=O)c2c(O*)c(Cl)c(Cl)c(Cl)c2CC)CCN2C(C1)CCN2Cc1c(C)c2c(c(O)c1O)CCC(=O)N2,53.796085357666016
COc1c(C(N)=O)ccc(N2CCN(c3c(O)cc(C4(O)CCOCC4)cc3Cl)CC2)c1[O:0][CH2:0]O,C([*])O,NC(=O)c1c(OC)c(O*)c(N2CCN(c3c(Cl)cc(C4(O)CCOCC4)cc3O)CC2)cc1,48.091575622558594
CN(C)S(=O)(=O)Oc1cc([O:0][CH2:0]O)c(CNC2CCSC3=NCCN32)cc1[N+](=O)[O-],C([*])O,C1(NCc2c(O*)cc(OS(N(C)C)(=O)=O)c([N+](=O)[O-])c2)CCSC2=NCCN12,33.02452087402344
Cc1ccc(CCc2ccc(OC(=O)Cc3ccc4c(O)c(C)cc(N)n4c3=O)cc2C(=O)NN2CCC(C)(Oc3ccc(Cl)c(Cl)c3)CC2)c(NC(=O)[O:0][CH2:0]O)c1[N+](=O)[O-],C([*])O,O(*)C(Nc1c([N+](=O)[O-])c(C)ccc1CCc1c(C(NN2CCC(Oc3cc(Cl)c(Cl)cc3)(C)CC2)=O)cc(OC(Cc2c(=O)n3c(N)cc(C)c(O)c3cc2)=O)cc1)=O,67.37858581542969
COc1ccc(Oc2cc(C)c3c(c2)C(=O)N(CC[O:0][CH2:0]O)C(C)C3)cc1,C([*])O,C(O*)CN1C(=O)c2c(c(C)cc(Oc3ccc(OC)cc3)c2)CC1C,29.049646377563477
CC(C)(N)c1ccccc1Oc1cccc(OC2(C[O:0][CH2:0]O)CC2)c1CN1CCC1,C([*])O,c1cc(OC2(CO*)CC2)c(CN2CCC2)c(Oc2c(C(N)(C)C)cccc2)c1,39.16447448730469
COc1ccccc1CN1CCN(C(=O)c2cc(OC)c(O)c(C3C[N:0]([CH2:0]O)CCN3C3OC(C)(Cc4cc(CN5CCCN(C)C5)cc(C(=O)NO)c4)c4ccccc43)c2)CC1=O,C([*])O,C1N(*)CCN(C2c3ccccc3C(Cc3cc(CN4CCCN(C)C4)cc(C(=O)NO)c3)(C)O2)C1c1c(O)c(OC)cc(C(N2CCN(Cc3ccccc3OC)C(=O)C2)=O)c1,69.77501678466797
COc1cc(CN2CC(C(=O)NO)C2)cc([O:0][CH2:0]O)c1,C([*])O,c1(OC)cc(O*)cc(CN2CC(C(NO)=O)C2)c1,25.103681564331055
COc1cc([O:0][CH2:0]O)ccc1N1CCN(Cc2ccccc2OS(=O)(=O)c2c(C#N)cccc2CNC(=O)N2CCC(O)CC2)CC1,C([*])O,C1CN(c2c(OC)cc(O*)cc2)CCN1Cc1c(OS(c2c(C#N)cccc2CNC(N2CCC(O)CC2)=O)(=O)=O)cccc1,39.462677001953125
