SMILES,Input_SMILES,Tanimoto,NLL
O=S(=O)(c1cccc2cccnc12)N1CCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6142857142857143,3.3282246589660645
O=S(=O)(c1cccc2ccccc12)N1CCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6376811594202898,3.3941493034362793
O=S(=O)(c1cccc2ccccc12)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.7313432835820896,3.7689945697784424
O=S(=O)(c1cccc2cnccc12)N1CCN(C2CCCC2)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6,3.944369077682495
O=S(=O)(c1cccc2cnccc12)N1CCN(C2CCCCC2)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.5783132530120482,3.98163104057312
O=S(=O)(c1cccc2cnccc12)N1CCCN(C2CCCCC2)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.5764705882352941,3.989973306655884
O=S(=O)(c1cccc2cccnc12)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.7058823529411765,4.042633533477783
CN1CCCN(S(=O)(=O)c2cccc3cnccc23)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.7101449275362319,4.175871849060059
O=S(=O)(c1ccc(Cl)cc1)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.5142857142857142,4.264122009277344
CCCN1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6133333333333333,4.269692897796631
CCN1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6388888888888888,4.274960041046143
O=S(=O)(c1cccc2cnccc12)N1CCN(CC2CCCCC2)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.5581395348837209,4.323275089263916
CN1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6666666666666666,4.325323581695557
Nc1ccc(S(=O)(=O)N2CCCNCC2)cc1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.5142857142857142,4.420281887054443
O=S(=O)(c1ccc(Cl)cc1)N1CCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.4305555555555556,4.444051742553711
O=S(=O)(c1cccc2cnccc12)N1CCCN(CC(F)(F)F)CC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.620253164556962,4.466671466827393
O=S(=O)(c1cccc2ncccc12)N1CCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.6142857142857143,4.525041103363037
