SMILES,NLL
OC(CCc1cccc(F)c1)(c1ccc(Cl)cc1)c1cccnc1,31.38326072692871
NC(Cc1c[nH]cn1)C(=O)O,15.754180908203125
O=S(=O)(c1ccc(F)c(F)c1)N1CCC2(CC1)OCc1ccccc12,27.197521209716797
Cc1sc(N)[n+](Cc2ccco2)c1C,23.028879165649414
O=c1c2oc3cc(O)cc(O)c3c2c2ccc(O)c(O)c2n1-c1ccccc1,33.64409637451172
CN1c2ccccc2C2(CNC2=O)N1c1ccccc1,25.518911361694336
CCc1cc2c(N3CCN(S(=O)(=O)c4c(C)cc(C)cc4C)CC3)ncnc2s1,22.70142936706543
CC1CN(CC(O)COc2ccccc2)C(C)(C)CN1Cc1ccccc1,24.099973678588867
COc1ccc(OCCN2CCN(C(=O)C(Cc3ccc(C(C)(C)C)cc3)NC(C)=O)CC2)cc1,29.379865646362305
COc1cc(=Nc2nc3cc(C(=O)N4CCOCC4)ccc3s2)[nH]cn1,29.884910583496094
COc1cc(C=Cc2nc(C#N)c(NCc3ccco3)o2)ccc1O,24.283769607543945
O=C(N1CCCC1)n1cnc2c(=NCc3ccccc3)[nH]cnc21,25.03681182861328
CCC12CC(C)(C)C(=NNc3ccccc3)C(=O)C1CCC1(C)C2CCC2C(C(C)(O)CCC=C(C)C(=O)O)CCC21C,52.67523193359375
CCCCC=CC=CC#CC(O)CCCCC,23.34966468811035
CCC(C)(C)NC(=O)N(Cc1ccc(-c2cccnc2)cc1)C1CCC(CC=C(C)C=O)CC1,42.711605072021484
OC(c1ccncc1)C(O)(Cn1cncn1)c1ccc(F)cc1F,25.5699520111084
CC(=O)Nc1ccc([S+](N)([O-])=NC(=O)Nc2ccccc2)c(Cl)c1,28.582237243652344
CC1Nc2ccccc2OC1c1c[nH]c2ccccc12,25.353252410888672
O=c1ncn(-c2ccc(F)cc2F)nc1-c1ccc(Cl)cc1,28.355403900146484
N#Cc1cnc(C#N)c(=NCc2ccncc2)[nH]1,20.24544906616211
N=c1cc(OCC2CCCCC2)[nH]c(=N)[nH]1,19.95925521850586
c1ccc2nc(N3CC(Oc4ncc5c(n4)CNC5)C3)ccc2c1,26.472280502319336
N=C(N)NCCCC1NC(CNC(=O)c2cc3ccccc3s2)CCN(CCCC(=O)O)C1=O,27.621395111083984
COc1ccc(-c2csc(=NN=Cc3cccnc3)[nH]2)cc1,18.554410934448242
CN(C)c1nccc(-c2ccccc2)n1,18.456384658813477
Cc1cccc2c(=NCCN3CCOCC3)c3ccccc3[nH]c12,23.747201919555664
CN(CCOc1ccc(Cl)cc1)CC(=O)NCC1CCCO1,24.098102569580078
CC(C)c1cc2oc(=O)c(O)c(C(C)C)c2cc1OC(C)C(C)(C)C,30.44392967224121
CC(=O)N1CCCN(C(=O)Cc2cc(C)c(Cl)c(C)c2)CC1,28.71481704711914
Cc1ccc(NC(=O)c2cnn(-c3ccc(O)c(C(=O)Nc4ccc(C(=O)O)c(Cl)c4)c3)c2C)cc1O,44.0888557434082
COc1cc2c(cc1OC)C(CC(=O)OC1C=CC(=O)C(CC(C)C)C1(C)C)=NCC2,40.897727966308594
COc1cc(C(=O)O)ccc1OCc1nc2c(C(F)(F)F)cccc2c(=O)n1-c1ccc(C#N)cc1F,40.6298713684082
COC(=O)CSc1cc(C)nc2ccccc12,19.83135223388672
CCN(c1cc(C2CC2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCC(N(C)C)CC1,22.287099838256836
FC(F)(F)c1ccc(N=c2nc(N3CCCCC3)[nH]c3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,18.79152488708496
COc1cc2nc3c(C)nccn3c(=O)c2cc1OC,21.22201156616211
COCc1cc(=NCc2ccc(OC)cc2)[nH]c(-c2ccccc2)n1,22.341943740844727
NC1CCN(CCc2cn(-c3ccccc3)c3ccccc23)CC1,25.300914764404297
CCC1(CC)CC(=O)N(C2CCCCC2)C1=O,20.167728424072266
Cc1ccccc1S(=O)(=O)Nc1ccccc1N=CCC1=C(Cl)C2C(C)(C1)C(O)CC1C3(C)Cc4cnoc4C(C)(C)C3CCC12C,60.32096862792969
O=C(O)CC1CC2(CCN(Cc3ccc(OC(F)(F)F)cc3)CC2)c2ccccc21,28.65823745727539
CC(C)(CCCCN1CCCCC1)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC21C,33.904720306396484
N#CC1CN2CC1c1c2c(O)n(-c2cc(Cl)ccc2[N+](=O)[O-])c1O,40.947959899902344
CCCCn1nnnc1C(C1CC1)N1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,24.26009178161621
CN(CCNS(C)(=O)=O)S(=O)(=O)c1ccc2cc(Br)ccc2c1,27.573110580444336
OCC1C(O)C(O)C(O)CN1CCCCCOCc1ccccc1,17.503128051757812
COc1ccccc1N1CCN(C(=O)CCNS(=O)(=O)c2ccccc2C(F)(F)F)CC1,23.46051788330078
CCCCSC(=S)N1CCN(S(=O)(=O)c2cc([N+](=O)[O-])ccc2C)CC1,27.567598342895508
C=CC(=O)N(CC#N)N(SOCCC(C)C)C(=O)c1cc(Cl)cc(Cl)c1,40.15902328491211
CCOc1cc(C(=O)NCCc2ccc(C(=O)NC3CCCCC3)cc2)cc(OCC)c1OCC,29.497051239013672
COC1CN(C(=O)c2c(C)ccnc2Oc2ccccc2Cl)C1,31.5872745513916
Cc1c2c(c(C)c3sc(=NC(=O)Nc4ccc(Cl)cc4)[nH]c13)OC(C)(C)CC2,32.07597732543945
Cc1c(CCn2c(=O)n(Cc3ccc(F)cc3)c3ccccc32)c2ccccc2n1CC1CCNCC1,39.222625732421875
COc1cc(S(=O)(=O)NC(C)(C)C(=O)NC2C3CC4CC2CC(O)(C4)C3)c(OC)cc1Cl,30.537918090820312
O=C(Nc1cc2c(cc1C(=O)O)OCCO2)c1ccc([N+](=O)[O-])cc1Cl,26.915437698364258
Cc1nc2ccccn2c1C(Cc1ccc(NS(=O)(=O)c2cccc3ccccc23)cc1)C(=O)O,32.758853912353516
COC12OC(CO)CC(OCc3ccccc31)C2COCc1ccccc1,34.87639236450195
CCCNC(=O)c1cc(CSc2ccc(Cl)cc2)c[nH]1,29.99715805053711
O=C(ON1C(=O)COc2ccccc21)c1ccccc1,20.251876831054688
