SMILES,Warheads,Linker,NLL
Cn1c(N2CCNC(c3ccc(-c4cncc(O)c4)cc3)C2)nc(N)c1C1CC1c1ccoc1,c1ncc(*)cc1O|c1(*)ccoc1,Nc1nc(N2CCNC(c3ccc([*])cc3)C2)n(C)c1C1CC1[*],27.13742446899414
O=C(Cc1cncc(O)c1)NCC1CCCN1Cc1nc2ccccc2n1Cc1ccoc1,c1ncc(*)cc1O|c1(*)ccoc1,C1(CNC(C[*])=O)CCCN1Cc1n(C[*])c2c(cccc2)n1,17.146778106689453
Nc1nn(C2CCN(C(=O)NCC3CC3c3cncc(O)c3)CC2)c2c(NCCc3ccoc3)ncnc12,c1ncc(*)cc1O|c1(*)ccoc1,C(NCC1CC1[*])(N1CCC(n2nc(N)c3ncnc(NCC[*])c32)CC1)=O,19.531719207763672
Cn1c(Cc2ccoc2)cnc1CN1CCN(c2cncc(O)c2)CC1,c1ncc(*)cc1O|c1(*)ccoc1,C1N([*])CCN(Cc2ncc(C[*])n2C)C1,13.337644577026367
O=C(NCC1CCN(c2cncc(O)c2)CC1)c1cc2cc(-c3ccoc3)ccn2n1,c1ncc(*)cc1O|c1(*)ccoc1,O=C(NCC1CCN([*])CC1)c1nn2c(c1)cc([*])cc2,16.689159393310547
O=C(Nc1nn(Cc2ccoc2)c2ccccc12)C1CCN(c2cncc(O)c2)CC1,c1ncc(*)cc1O|c1(*)ccoc1,n1c(NC(C2CCN([*])CC2)=O)c2c(n1C[*])cccc2,12.42017936706543
Oc1cncc(N2CCN(Cc3nc(-c4ccoc4)no3)CC2)c1,c1ncc(*)cc1O|c1(*)ccoc1,C1CN([*])CCN1Cc1nc([*])no1,9.285613059997559
CCC(Cc1ccoc1)c1cccc2c(C(=O)CN3CCCC(Cc4cncc(O)c4)C3)c[nH]c12,c1ncc(*)cc1O|c1(*)ccoc1,[*]CC1CCCN(CC(c2c3cccc(C(CC)C[*])c3[nH]c2)=O)C1,28.013307571411133
CCOC1(C(=O)Nc2ccc3c(ncn3Cc3ccoc3)n2)CCC(NC(C)Cc2cncc(O)c2)CC1,c1ncc(*)cc1O|c1(*)ccoc1,c12nc(NC(C3(OCC)CCC(NC(C)C[*])CC3)=O)ccc1n(C[*])cn2,28.51359748840332
Oc1cncc(-c2ncc(-c3snc4ccc(-c5ccoc5)cc34)o2)c1,c1ncc(*)cc1O|c1(*)ccoc1,s1c(-c2cnc([*])o2)c2c(ccc([*])c2)n1,21.29620361328125
